subject,relation,object,source_url,sentence
the UN Environment Programme,find,2015,https://www.un.org/en/global-issues/climate-change,The new Emissions Gas Report by the UN Environment Programme finds that there has been progress since the Paris Agreement was signed in 2015.
2030,decrease,The UN Intergovernmental Panel on Climate Change,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,The Intergovernmental Panel on Climate Change,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,the World Meteorological Organization,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,WMO,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,United Nations Environment,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
2030,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,The Intergovernmental Panel on Climate Change,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,the World Meteorological Organization,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,WMO,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,United Nations Environment,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The UN Intergovernmental Panel on Climate Change,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,The Intergovernmental Panel on Climate Change,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,the World Meteorological Organization,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,WMO,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,United Nations Environment,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
IPCC,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The Intergovernmental Panel on Climate Change,decrease,IPCC,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The Intergovernmental Panel on Climate Change,decrease,the World Meteorological Organization,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The Intergovernmental Panel on Climate Change,decrease,WMO,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
The Intergovernmental Panel on Climate Change,decrease,United Nations Environment,https://www.un.org/en/global-issues/climate-change,"Emissions should be decreasing by now and will need to be cut by almost half by 2030 if warming is to be limited to 1.5°C
The UN Intergovernmental Panel on Climate Change (IPCC)
The Intergovernmental Panel on Climate Change (IPCC) was set up by the World Meteorological Organization (WMO) and United Nations Environment to provide an objective source of scientific information.
Sixth Assessment Report
According to the Synthesis Report of the IPCC’s Sixth Assessment Report, there are multiple, feasible, and effective options to reduce greenhouse gas emissions and adapt to human-caused climate change, and they are available now."
