entity_text,entity_label,source_url
the UN Environment Programme,ORG,https://www.un.org/en/global-issues/climate-change
2015,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
The UN Intergovernmental Panel on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
The Intergovernmental Panel on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
the World Meteorological Organization,ORG,https://www.un.org/en/global-issues/climate-change
WMO,ORG,https://www.un.org/en/global-issues/climate-change
United Nations Environment,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
October 2018,DATE,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
2100,DATE,https://www.un.org/en/global-issues/climate-change
2010,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2050,DATE,https://www.un.org/en/global-issues/climate-change
United Nations,ORG,https://www.un.org/en/global-issues/climate-change
United Nations Framework Convention on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
UN,ORG,https://www.un.org/en/global-issues/climate-change
1992,DATE,https://www.un.org/en/global-issues/climate-change
1995,DATE,https://www.un.org/en/global-issues/climate-change
2008,DATE,https://www.un.org/en/global-issues/climate-change
2012,DATE,https://www.un.org/en/global-issues/climate-change
1 January 2013,DATE,https://www.un.org/en/global-issues/climate-change
2020,DATE,https://www.un.org/en/global-issues/climate-change
Conference of the Parties,ORG,https://www.un.org/en/global-issues/climate-change
Paris,GPE,https://www.un.org/en/global-issues/climate-change
2015,DATE,https://www.un.org/en/global-issues/climate-change
UNFCCC,ORG,https://www.un.org/en/global-issues/climate-change
22 April 2016,DATE,https://www.un.org/en/global-issues/climate-change
United Nations Headquarters,ORG,https://www.un.org/en/global-issues/climate-change
New York,GPE,https://www.un.org/en/global-issues/climate-change
2007,DATE,https://www.un.org/en/global-issues/climate-change
United States,GPE,https://www.un.org/en/global-issues/climate-change
Al Gore,PERSON,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
2023,DATE,https://www.un.org/en/global-issues/climate-change
Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
United Nations,GPE,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
2021,DATE,https://science.nasa.gov/climate-change/effects/
1850-1900.1,DATE,https://science.nasa.gov/climate-change/effects/
Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
U.S.,GPE,https://science.nasa.gov/climate-change/effects/
2100,DATE,https://science.nasa.gov/climate-change/effects/
1880,DATE,https://science.nasa.gov/climate-change/effects/
2100,DATE,https://science.nasa.gov/climate-change/effects/
Khagani Hasanov,PERSON,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
NOAA,ORG,https://science.nasa.gov/climate-change/effects/
around 2050,DATE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
United States,GPE,https://science.nasa.gov/climate-change/effects/
Marvin Nauman,PERSON,https://science.nasa.gov/climate-change/effects/
FEMA,ORG,https://science.nasa.gov/climate-change/effects/
United States,GPE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
Summer of 2023,DATE,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
the average summer between 1951 and 1980,DATE,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
U.S.,GPE,https://science.nasa.gov/climate-change/effects/
National Climate Assessment Reports,ORG,https://science.nasa.gov/climate-change/effects/
the U.S. Global Change Research Program,ORG,https://science.nasa.gov/climate-change/effects/
2021,DATE,https://science.nasa.gov/climate-change/effects/
Cambridge University Press,ORG,https://science.nasa.gov/climate-change/effects/
Cambridge,GPE,https://science.nasa.gov/climate-change/effects/
UK,GPE,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
2013,DATE,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
Stocker,PERSON,https://science.nasa.gov/climate-change/effects/
D. Qin,PERSON,https://science.nasa.gov/climate-change/effects/
G.-K. Plattner,PERSON,https://science.nasa.gov/climate-change/effects/
M. Tignor,PERSON,https://science.nasa.gov/climate-change/effects/
S.K. Allen,PERSON,https://science.nasa.gov/climate-change/effects/
J. Boschung,PERSON,https://science.nasa.gov/climate-change/effects/
A. Nauels,PERSON,https://science.nasa.gov/climate-change/effects/
Y. Xia,PERSON,https://science.nasa.gov/climate-change/effects/
V. Bex,PERSON,https://science.nasa.gov/climate-change/effects/
P.M. Midgley,PERSON,https://science.nasa.gov/climate-change/effects/
Cambridge University Press,ORG,https://science.nasa.gov/climate-change/effects/
Cambridge,GPE,https://science.nasa.gov/climate-change/effects/
United Kingdom,GPE,https://science.nasa.gov/climate-change/effects/
New York,GPE,https://science.nasa.gov/climate-change/effects/
NY,GPE,https://science.nasa.gov/climate-change/effects/
USA,GPE,https://science.nasa.gov/climate-change/effects/
2014,DATE,https://science.nasa.gov/climate-change/effects/
2017,DATE,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://climate.nasa.gov/evidence/
IPCC,ORG,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
Intergovernmental Panel on Climate Change,ORG,https://climate.nasa.gov/evidence/
2016,DATE,https://climate.nasa.gov/evidence/
2020,DATE,https://climate.nasa.gov/evidence/
